dataset,original_rows,retained_rows,training_rows,validation_rows,features,problem_type
MIP-2016-regression,1090,1090,654,218,144,regression
2dplanes,40768,20000,11998,4001,10,binary
jannis,83733,20000,12000,4000,54,multiclass
abalone,4177,4177,2505,836,8,regression
kin8nm,8192,8192,4914,1639,8,binary
baseball,1340,1340,803,269,16,multiclass
sensory,576,576,345,115,11,regression
diamonds,53940,20000,12003,3998,9,regression
blood-transfusion-service-center,748,748,449,150,4,binary
GesturePhaseSegmentationProcessed,9873,9873,5923,1975,32,multiclass
house_sales,21613,20000,12000,4000,21,regression
pc4,1458,1458,875,291,37,binary
volcanoes-d1,8753,8753,5251,1751,3,multiclass
yprop_4_1,8885,8885,5334,1772,251,regression
Diabetes130US,101766,20000,12000,4000,49,multiclass
space_ga,3107,3107,1863,622,6,regression
pollen,3848,3848,2308,770,5,binary
black_friday,166821,20000,12080,4001,9,regression
kick,72983,20000,12000,4000,32,binary
first-order-theorem-proving,6118,6118,3670,1224,51,multiclass
Santander_transaction_value,4459,801,480,160,4991,regression
wilt,4839,4839,2903,968,5,binary
MiceProtein,1080,1080,648,216,77,multiclass
elevators,16599,16599,9959,3320,18,regression
kdd_el_nino-small,782,782,469,157,8,binary
cardiotocography,2126,2126,1275,425,35,multiclass
electricity,45312,20000,12000,4000,8,binary
microaggregation2,20000,20000,11999,4001,20,multiclass
bank-marketing,45211,20000,12000,4000,16,binary
qsar-biodeg,1055,1055,634,210,41,binary
vehicle,846,846,507,169,18,multiclass
climate-model-simulation-crashes,540,540,324,108,18,binary
waveform-5000,5000,5000,3000,1000,40,multiclass
Amazon_employee_access,32769,20000,12000,4000,9,binary
Traffic_violations,70340,20000,12000,4000,20,multiclass
ada,4147,4147,2488,830,48,binary
wall-robot-navigation,5456,5456,3273,1091,24,multiclass
meta,528,528,316,106,21,binary
semeion,1593,1593,955,319,256,multiclass
fried,40768,20000,12000,4000,10,binary
autoUniv-au6-750,750,750,450,150,40,multiclass
pbcseq,1945,1945,1167,389,18,binary
Bioresponse,3751,2252,1350,451,1776,binary
letter,20000,20000,11999,4000,16,multiclass
pendigits,10992,10992,6594,2199,16,multiclass
Internet-Advertisements,3279,2567,1541,513,1558,binary
hiva_agnostic,4229,2473,1484,494,1617,binary
Run_or_walk_information,88588,20000,12000,4000,6,binary
synthetic_control,600,600,360,120,60,multiclass
cylinder-bands,540,540,324,108,37,binary
