stratum,datasets,method,area1_16,regret16,regret32
classification,25,gp_prior,0.060305352764092116,0.026999360634733547,0.01352267549967252
classification,25,gp_no_history,0.07124829277476424,0.0319622884581807,0.015262879495667432
classification,25,gp_prior_matched2,0.06630860110138843,0.03100758226556406,0.015088585277090432
classification,25,gp_ei_online,0.07568833018663822,0.03488534008445101,0.014080476338046542
classification,25,smac,0.07835874932334919,0.03357900129212811,0.009429259957778113
classification,25,tpe,0.07837025069772889,0.03507076659898403,0.01673063835103805
classification,25,random,0.07383819269918405,0.03721703156696683,0.021696582170975948
regression,5,gp_prior,0.06982511741725647,0.037464628305711775,0.019802384422654536
regression,5,gp_no_history,0.08302776153855176,0.032271715847344264,0.021335644812061006
regression,5,gp_prior_matched2,0.07632514972622217,0.03459778563224719,0.021347164412799526
regression,5,gp_ei_online,0.0853171421989894,0.03774351177636156,0.015870572012139907
regression,5,smac,0.09119497108537303,0.04656242884056887,0.01826473038510778
regression,5,tpe,0.09093667683784823,0.046833971454010255,0.01608189550847895
regression,5,random,0.07902288880199107,0.037236931434718505,0.02037796818734571
